,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
16,Sargent County,,,,,-56%,,North Dakota
17,Stark County,-41%,+3%,,,-23%,+14%,North Dakota
18,Stutsman County,-34%,-16%,,,-25%,,North Dakota
19,Traill County,,,,,-50%,,North Dakota
20,Walsh County,-33%,,,,-41%,,North Dakota
21,Ward County,-42%,+10%,,-57%,-30%,+21%,North Dakota
0,Adams County,-39%,+32%,,,-23%,-2%,Ohio
1,Allen County,-44%,-2%,+11%,-20%,-32%,+12%,Ohio
2,Ashland County,-36%,+8%,,,-40%,+23%,Ohio
3,Ashtabula County,-29%,+8%,+81%,-28%,-29%,+11%,Ohio
4,Athens County,-53%,-6%,,,-39%,+18%,Ohio
5,Auglaize County,-39%,-3%,,,-28%,+22%,Ohio
6,Belmont County,-40%,+32%,,-36%,-27%,+19%,Ohio
7,Brown County,-31%,+10%,,,-24%,+19%,Ohio
8,Butler County,-45%,-6%,+136%,-12%,-34%,+12%,Ohio
9,Carroll County,-37%,-8%,,,-30%,+0%,Ohio
10,Champaign County,-34%,-5%,,,-39%,+20%,Ohio
11,Clark County,-32%,+1%,,-15%,-31%,+10%,Ohio
12,Clermont County,-39%,-8%,+68%,,-37%,+12%,Ohio
13,Clinton County,-37%,+6%,,+17%,-31%,+22%,Ohio
14,Columbiana County,-28%,+17%,,,-37%,+12%,Ohio
15,Coshocton County,-28%,+0%,,,-23%,+16%,Ohio
16,Crawford County,-32%,+1%,,,-38%,+22%,Ohio
17,Cuyahoga County,-47%,-1%,+67%,-38%,-40%,+13%,Ohio
18,Darke County,-29%,+0%,,,-27%,+23%,Ohio
19,Defiance County,-39%,+4%,,,-31%,+20%,Ohio
20,Delaware County,-58%,-17%,+137%,-37%,-41%,+14%,Ohio
21,Erie County,-42%,+2%,+2%,,-43%,+12%,Ohio
22,Fairfield County,-45%,-2%,+58%,,-29%,+12%,Ohio
23,Fayette County,-35%,-4%,,-32%,-31%,+9%,Ohio
24,Franklin County,-46%,-9%,+43%,-38%,-40%,+13%,Ohio
25,Fulton County,-33%,+7%,,-45%,-32%,+26%,Ohio
26,Gallia County,-35%,-6%,,-17%,-21%,,Ohio
27,Geauga County,-37%,-6%,+10%,,-39%,+27%,Ohio
28,Greene County,-47%,-3%,+144%,,-37%,+12%,Ohio
29,Guernsey County,-32%,-8%,,-28%,-27%,+15%,Ohio
30,Hamilton County,-47%,-7%,+94%,-18%,-38%,+13%,Ohio
31,Hancock County,-46%,-5%,,-28%,-45%,+26%,Ohio
32,Hardin County,-30%,+3%,,,-38%,+13%,Ohio
33,Harrison County,-2%,+5%,,,-25%,,Ohio
34,Henry County,-34%,-6%,,-40%,-36%,+13%,Ohio
35,Highland County,-16%,+4%,,,-27%,+19%,Ohio
36,Hocking County,-42%,-11%,-35%,,-32%,-3%,Ohio
37,Holmes County,-53%,-13%,,,-31%,-1%,Ohio
38,Huron County,-31%,+13%,,,-38%,+22%,Ohio
39,Jackson County,-25%,+27%,,-35%,-28%,-1%,Ohio
40,Jefferson County,-28%,+14%,,-17%,-30%,+19%,Ohio
41,Knox County,-26%,+14%,,,-36%,+22%,Ohio
42,Lake County,-43%,-1%,+120%,-30%,-37%,+14%,Ohio
43,Lawrence County,-28%,-4%,,,-31%,+19%,Ohio
44,Licking County,-35%,-3%,+9%,-32%,-33%,+12%,Ohio
45,Logan County,-22%,+4%,,,-48%,+23%,Ohio
46,Lorain County,-36%,+10%,+114%,-59%,-35%,+12%,Ohio
47,Lucas County,-48%,+0%,+61%,-12%,-38%,+14%,Ohio
48,Madison County,-40%,-9%,,-24%,-35%,+21%,Ohio
49,Mahoning County,-42%,+0%,+97%,-34%,-38%,+13%,Ohio
50,Marion County,-29%,+5%,,,-39%,+21%,Ohio
51,Medina County,-41%,+4%,,-30%,-34%,+14%,Ohio
52,Meigs County,-29%,,,,-18%,,Ohio
53,Mercer County,-34%,-6%,,,-32%,+22%,Ohio
54,Miami County,-36%,-4%,-4%,,-35%,+12%,Ohio
55,Monroe County,-57%,-6%,,,-44%,,Ohio
56,Montgomery County,-45%,-3%,+87%,+2%,-37%,+12%,Ohio
57,Morgan County,-22%,+20%,,,-34%,,Ohio
58,Morrow County,-45%,-6%,,-33%,-31%,+18%,Ohio
59,Muskingum County,-33%,-6%,,-21%,-30%,+10%,Ohio
60,Noble County,-53%,+9%,,-17%,-39%,,Ohio
61,Ottawa County,-32%,+6%,,,-32%,+22%,Ohio
62,Paulding County,+11%,+13%,,,-38%,,Ohio
63,Perry County,-5%,+3%,,,-25%,+10%,Ohio
64,Pickaway County,-21%,+5%,,-5%,-25%,+20%,Ohio
65,Pike County,-22%,-5%,,,-22%,,Ohio
66,Portage County,-41%,-2%,+22%,-40%,-38%,+13%,Ohio
67,Preble County,-23%,-20%,,+1%,-32%,+22%,Ohio
68,Putnam County,-37%,+17%,,,-40%,+16%,Ohio
69,Richland County,-46%,-5%,,-32%,-39%,+11%,Ohio
70,Ross County,-38%,+7%,,+3%,-25%,+17%,Ohio
71,Sandusky County,-30%,+5%,,-52%,-35%,+25%,Ohio
72,Scioto County,-33%,+0%,,,-22%,+15%,Ohio
73,Seneca County,-27%,+10%,,,-38%,+26%,Ohio
74,Shelby County,-26%,-15%,,-29%,-41%,+21%,Ohio
75,Stark County,-40%,-3%,+89%,-7%,-35%,+12%,Ohio
76,Summit County,-43%,+0%,+59%,-23%,-39%,+13%,Ohio
77,Trumbull County,-38%,+8%,+87%,-19%,-37%,+12%,Ohio
78,Tuscarawas County,-35%,+9%,,,-35%,+12%,Ohio
79,Union County,-38%,+1%,,,-40%,+30%,Ohio
80,Van Wert County,-25%,-8%,,,-34%,+19%,Ohio
81,Vinton County,-56%,+9%,,,-46%,,Ohio
82,Warren County,-45%,+5%,+75%,-24%,-37%,+13%,Ohio
83,Washington County,-40%,-2%,,,-31%,+19%,Ohio
84,Wayne County,-46%,+1%,,-35%,-36%,+12%,Ohio
85,Williams County,-32%,-11%,,-58%,-32%,+21%,Ohio
86,Wood County,-46%,-16%,-7%,-31%,-40%,+14%,Ohio
0,Adair County,-22%,+8%,,,-33%,,Oklahoma
1,Atoka County,-31%,-24%,,-33%,-28%,,Oklahoma
2,Beckham County,-31%,-8%,,-20%,-22%,,Oklahoma
3,Blaine County,-30%,-4%,,,-36%,,Oklahoma
4,Bryan County,-36%,-19%,,-38%,-31%,+16%,Oklahoma
5,Caddo County,-12%,+7%,,-23%,-25%,,Oklahoma
6,Canadian County,-34%,-14%,+26%,-17%,-35%,+14%,Oklahoma
7,Carter County,-37%,+9%,,-25%,-29%,+15%,Oklahoma
8,Cherokee County,-26%,-1%,,,-31%,+18%,Oklahoma
9,Choctaw County,-25%,-5%,,,-21%,,Oklahoma
10,Cleveland County,-46%,-9%,-28%,,-37%,+14%,Oklahoma
11,Coal County,,,,,-38%,,Oklahoma
12,Comanche County,-49%,+0%,-18%,-33%,-36%,+13%,Oklahoma
13,Cotton County,,-23%,,-51%,-41%,,Oklahoma
14,Craig County,-18%,-25%,,-2%,-22%,,Oklahoma
15,Creek County,-20%,+12%,-37%,,-30%,+17%,Oklahoma
16,Custer County,-30%,-8%,,-24%,-33%,,Oklahoma
17,Delaware County,-17%,+22%,,-22%,-25%,+13%,Oklahoma
18,Garfield County,-30%,+6%,-54%,-31%,-23%,+16%,Oklahoma
19,Garvin County,-25%,+2%,-56%,-20%,-24%,-4%,Oklahoma
20,Grady County,-35%,+6%,,,-24%,+16%,Oklahoma
21,Greer County,,,,,-43%,,Oklahoma
22,Haskell County,-20%,-12%,,,-30%,,Oklahoma
23,Hughes County,-6%,+8%,,,-24%,,Oklahoma
24,Jackson County,-43%,-2%,,,-20%,+9%,Oklahoma
25,Jefferson County,,-4%,,,-46%,,Oklahoma
26,Johnston County,-58%,+9%,,,-40%,,Oklahoma
27,Kay County,-17%,+17%,,-32%,-28%,+17%,Oklahoma
28,Kingfisher County,-24%,,,,-36%,,Oklahoma
29,Kiowa County,-15%,-2%,,,-32%,,Oklahoma
30,Latimer County,-26%,-11%,,,-44%,,Oklahoma
31,Le Flore County,-28%,+5%,,,-29%,+11%,Oklahoma
32,Lincoln County,-35%,-5%,,,-26%,+12%,Oklahoma
33,Logan County,-40%,-3%,,-18%,-25%,+17%,Oklahoma
34,Love County,-50%,-13%,,,-44%,,Oklahoma
35,Major County,,,,,-38%,,Oklahoma
36,Marshall County,-29%,+7%,,,-21%,,Oklahoma
37,Mayes County,-29%,+3%,,-22%,-24%,+16%,Oklahoma
38,McClain County,-23%,-7%,,-52%,-36%,+15%,Oklahoma
39,McCurtain County,-34%,-4%,+2%,-23%,-22%,+7%,Oklahoma
40,McIntosh County,-31%,+24%,,-24%,-23%,,Oklahoma
41,Murray County,-31%,+0%,-19%,,-35%,,Oklahoma
42,Muskogee County,-32%,+10%,+19%,-28%,-23%,+14%,Oklahoma
43,Noble County,-40%,-7%,,-62%,-50%,,Oklahoma
44,Nowata County,-51%,-2%,,-28%,-52%,,Oklahoma
45,Okfuskee County,-41%,-4%,,-41%,-44%,,Oklahoma
46,Oklahoma County,-45%,-4%,-17%,-34%,-35%,+13%,Oklahoma
47,Okmulgee County,-19%,+0%,,-27%,-26%,+15%,Oklahoma
48,Osage County,-18%,+12%,,,-28%,+17%,Oklahoma
49,Ottawa County,-21%,-2%,,,-34%,+10%,Oklahoma
50,Pawnee County,-32%,-11%,,,-26%,,Oklahoma
51,Payne County,-43%,-12%,+10%,,-31%,+21%,Oklahoma
52,Pittsburg County,-36%,+12%,-38%,-49%,-27%,+13%,Oklahoma
53,Pontotoc County,-35%,-6%,,,-33%,+15%,Oklahoma
54,Pottawatomie County,-39%,+13%,-56%,,-32%,+19%,Oklahoma
55,Pushmataha County,-37%,+4%,,,-33%,,Oklahoma
56,Rogers County,-34%,+3%,+16%,,-32%,+12%,Oklahoma
57,Seminole County,-20%,+13%,,-11%,-26%,,Oklahoma
58,Sequoyah County,-23%,+4%,,-25%,-28%,+12%,Oklahoma
59,Stephens County,-34%,+2%,,,-28%,+15%,Oklahoma
60,Texas County,-31%,-12%,,-28%,-25%,,Oklahoma
61,Tillman County,-14%,+0%,,,-48%,,Oklahoma
62,Tulsa County,-44%,+0%,-31%,-6%,-36%,+12%,Oklahoma
63,Wagoner County,-12%,+4%,,,-34%,+18%,Oklahoma
64,Washington County,-40%,+7%,,,-28%,+17%,Oklahoma
65,Washita County,,-17%,,,-31%,,Oklahoma
66,Woods County,-19%,,+4%,,-38%,,Oklahoma
0,Baker County,-38%,-10%,,-27%,-31%,,Oregon
1,Benton County,-54%,-21%,+44%,-49%,-44%,+23%,Oregon
2,Clackamas County,-46%,-9%,+6%,-27%,-37%,+13%,Oregon
3,Clatsop County,-55%,-23%,-25%,-61%,-40%,+16%,Oregon
4,Columbia County,-31%,-2%,+58%,,-32%,+16%,Oregon
5,Coos County,-33%,+3%,-11%,,-34%,+13%,Oregon
6,Crook County,-32%,-15%,,,-33%,-1%,Oregon
7,Curry County,-47%,-10%,+16%,,-31%,,Oregon
8,Deschutes County,-46%,-8%,-14%,-61%,-37%,+11%,Oregon
9,Douglas County,-30%,+10%,+17%,-11%,-26%,+7%,Oregon
10,Grant County,-70%,-19%,,,-28%,,Oregon
11,Harney County,-41%,-6%,,,-22%,,Oregon
12,Hood River County,-48%,+6%,-3%,,-41%,,Oregon
13,Jackson County,-40%,-1%,+44%,-37%,-33%,+8%,Oregon
14,Jefferson County,-36%,-6%,,-8%,-33%,+0%,Oregon
15,Josephine County,-32%,+3%,+64%,-37%,-29%,+8%,Oregon
16,Klamath County,-36%,+7%,+18%,-20%,-28%,+7%,Oregon
17,Lake County,-38%,,,,-30%,,Oregon
18,Lane County,-45%,-9%,+29%,-48%,-37%,+11%,Oregon
19,Lincoln County,-58%,-24%,-43%,,-45%,+16%,Oregon
20,Linn County,-32%,+4%,+38%,-27%,-28%,+10%,Oregon
21,Malheur County,-21%,+11%,,+1%,-17%,+7%,Oregon
22,Marion County,-41%,-1%,+37%,-26%,-30%,+11%,Oregon
23,Morrow County,-41%,,,-21%,-21%,,Oregon
24,Multnomah County,-60%,-15%,+5%,-54%,-43%,+14%,Oregon
25,Polk County,-27%,+6%,+41%,,-37%,+11%,Oregon
26,Sherman County,,,,-28%,,,Oregon
27,Tillamook County,-56%,-13%,-10%,,-29%,-1%,Oregon
28,Umatilla County,-27%,+20%,+13%,-23%,-28%,+8%,Oregon
29,Union County,-30%,-31%,,-34%,-26%,+0%,Oregon
30,Wallowa County,-68%,-14%,,,-27%,,Oregon
31,Wasco County,-33%,+1%,+12%,,-31%,+7%,Oregon
32,Washington County,-47%,-15%,+47%,-43%,-39%,+14%,Oregon
0,Adams County,-54%,-3%,+16%,,-40%,+14%,Pennsylvania
1,Allegheny County,-54%,-8%,+8%,-52%,-45%,+15%,Pennsylvania
2,Armstrong County,-35%,+5%,,,-33%,+24%,Pennsylvania
3,Beaver County,-42%,+2%,+14%,-52%,-42%,+14%,Pennsylvania
4,Bedford County,-45%,+10%,,-79%,-28%,+18%,Pennsylvania
5,Berks County,-45%,-14%,+53%,-38%,-43%,+15%,Pennsylvania
6,Blair County,-51%,-6%,-36%,-35%,-34%,+12%,Pennsylvania
7,Bradford County,-31%,+10%,,,-18%,+22%,Pennsylvania
8,Bucks County,-47%,-24%,+54%,-44%,-41%,+16%,Pennsylvania
9,Butler County,-47%,-35%,+0%,-31%,-40%,+14%,Pennsylvania
10,Cambria County,-46%,-3%,,,-32%,+12%,Pennsylvania
11,Carbon County,-35%,-7%,-13%,,-38%,+24%,Pennsylvania
12,Centre County,-64%,-21%,-5%,-45%,-47%,+15%,Pennsylvania
13,Chester County,-49%,-24%,+12%,-69%,-40%,+15%,Pennsylvania
14,Clarion County,-46%,-13%,,,-23%,+10%,Pennsylvania
15,Clearfield County,-39%,-5%,-34%,-7%,-27%,+11%,Pennsylvania
16,Clinton County,-28%,-13%,,-38%,-27%,+17%,Pennsylvania
17,Columbia County,-44%,+11%,,-32%,-34%,+26%,Pennsylvania
18,Crawford County,-35%,+11%,,,-38%,+24%,Pennsylvania
19,Cumberland County,-51%,-9%,+83%,-31%,-38%,+14%,Pennsylvania
20,Dauphin County,-53%,-24%,+28%,-55%,-37%,+14%,Pennsylvania
21,Delaware County,-44%,-14%,+57%,-39%,-40%,+16%,Pennsylvania
22,Elk County,-32%,-8%,,,-38%,+8%,Pennsylvania
23,Erie County,-46%,+6%,+80%,-39%,-40%,+13%,Pennsylvania
24,Fayette County,-35%,+8%,-34%,,-36%,+11%,Pennsylvania
25,Franklin County,-38%,-6%,-15%,-24%,-35%,+12%,Pennsylvania
26,Fulton County,-12%,-27%,,-65%,-53%,,Pennsylvania
27,Greene County,-33%,-10%,,,-30%,+3%,Pennsylvania
28,Huntingdon County,-36%,+4%,,,-25%,+18%,Pennsylvania
29,Indiana County,-43%,-11%,,,-29%,+25%,Pennsylvania
30,Jefferson County,-35%,-4%,,-29%,-24%,+16%,Pennsylvania
31,Juniata County,-48%,-34%,,,-42%,,Pennsylvania
32,Lackawanna County,-49%,+0%,+64%,-42%,-37%,+13%,Pennsylvania
33,Lancaster County,-51%,-19%,+36%,-54%,-39%,+15%,Pennsylvania
34,Lawrence County,-33%,+0%,-50%,,-29%,+11%,Pennsylvania
35,Lebanon County,-39%,-6%,-42%,-33%,-37%,+14%,Pennsylvania
36,Lehigh County,-53%,-16%,+46%,-54%,-41%,+16%,Pennsylvania
37,Luzerne County,-50%,-6%,+51%,-31%,-40%,+14%,Pennsylvania
38,Lycoming County,-46%,-1%,-28%,-29%,-33%,+12%,Pennsylvania
39,McKean County,-41%,-3%,,,-28%,+16%,Pennsylvania
40,Mercer County,-49%,-17%,,,-37%,+12%,Pennsylvania
41,Mifflin County,-32%,-9%,,,-26%,+24%,Pennsylvania
42,Monroe County,-53%,-4%,-6%,-63%,-47%,+16%,Pennsylvania
43,Montgomery County,-55%,-25%,+62%,-52%,-45%,+17%,Pennsylvania
44,Montour County,-60%,-33%,,,-28%,,Pennsylvania
45,Northampton County,-51%,-13%,+73%,-42%,-41%,+16%,Pennsylvania
46,Northumberland County,-40%,+10%,,-20%,-29%,+12%,Pennsylvania
47,Perry County,-31%,+10%,,,-30%,+27%,Pennsylvania
48,Philadelphia County,-54%,-17%,-37%,-55%,-43%,+16%,Pennsylvania
49,Pike County,-42%,+16%,,,-39%,+28%,Pennsylvania
50,Potter County,-38%,+1%,,,-25%,,Pennsylvania
51,Schuylkill County,-34%,+4%,-43%,-30%,-35%,+12%,Pennsylvania
52,Snyder County,-49%,-6%,,,-29%,+12%,Pennsylvania
53,Somerset County,-46%,+3%,+40%,-57%,-30%,+25%,Pennsylvania
54,Sullivan County,,,,,-51%,,Pennsylvania
55,Susquehanna County,-48%,-18%,-42%,-48%,-27%,+16%,Pennsylvania
56,Tioga County,-41%,-13%,,,-34%,+18%,Pennsylvania
57,Union County,-47%,-4%,,,-28%,+14%,Pennsylvania
58,Venango County,-35%,+1%,,-61%,-30%,+24%,Pennsylvania
59,Warren County,-30%,+15%,-38%,,-32%,+17%,Pennsylvania
60,Washington County,-48%,-2%,+27%,-24%,-38%,+13%,Pennsylvania
61,Wayne County,-37%,-6%,,,-36%,+17%,Pennsylvania
62,Westmoreland County,-42%,-5%,+43%,-41%,-37%,+13%,Pennsylvania
63,Wyoming County,-48%,-4%,,,-33%,-1%,Pennsylvania
0,Bristol County,-47%,-36%,,,-39%,+22%,Rhode Island
1,Kent County,-42%,+3%,+72%,-69%,-38%,+13%,Rhode Island
2,Newport County,-43%,-8%,-1%,-41%,-40%,+24%,Rhode Island
3,Providence County,-48%,-7%,+52%,-56%,-42%,+15%,Rhode Island
0,Abbeville County,-30%,+7%,,,-25%,,South Carolina
1,Aiken County,-32%,-1%,-19%,-27%,-33%,+11%,South Carolina
2,Allendale County,,-12%,,,-43%,,South Carolina
3,Anderson County,-45%,+8%,+8%,-37%,-33%,+11%,South Carolina
4,Bamberg County,-32%,+4%,,,-30%,,South Carolina
5,Barnwell County,-33%,+4%,,,-24%,,South Carolina
6,Beaufort County,-43%,-10%,-40%,-57%,-38%,+12%,South Carolina
7,Berkeley County,-35%,+1%,+7%,-40%,-34%,+12%,South Carolina
8,Calhoun County,-16%,+13%,,-63%,-27%,,South Carolina
9,Charleston County,-52%,-20%,-58%,-60%,-41%,+13%,South Carolina
10,Cherokee County,-44%,+4%,-13%,-32%,-36%,+17%,South Carolina
11,Chester County,-35%,+3%,,-45%,-28%,+13%,South Carolina
12,Chesterfield County,-31%,+7%,,,-22%,+14%,South Carolina
13,Clarendon County,-31%,-2%,,-45%,-27%,,South Carolina
14,Colleton County,-35%,-4%,,-52%,-30%,+13%,South Carolina
15,Darlington County,-27%,+0%,-28%,,-30%,+19%,South Carolina
16,Dillon County,-29%,+0%,-64%,-33%,-30%,-2%,South Carolina
17,Dorchester County,-33%,+1%,-30%,-47%,-37%,+12%,South Carolina
18,Edgefield County,-54%,+7%,,,-23%,,South Carolina
19,Fairfield County,-3%,+5%,,-47%,-27%,,South Carolina
20,Florence County,-46%,+3%,+4%,-38%,-29%,+10%,South Carolina
21,Georgetown County,-47%,-2%,-23%,,-30%,+15%,South Carolina
22,Greenville County,-47%,+1%,-41%,-18%,-39%,+13%,South Carolina
23,Greenwood County,-39%,-1%,,,-23%,+16%,South Carolina
24,Hampton County,-47%,-7%,,-34%,-22%,,South Carolina
25,Horry County,-53%,-13%,-45%,-75%,-41%,+12%,South Carolina
26,Jasper County,-39%,-13%,-54%,-28%,-34%,+8%,South Carolina
27,Kershaw County,-39%,+13%,,-53%,-24%,+19%,South Carolina
28,Lancaster County,-34%,+0%,,,-31%,+20%,South Carolina
29,Laurens County,-19%,+19%,,-32%,-31%,+9%,South Carolina
30,Lee County,-70%,+8%,,-39%,-18%,,South Carolina
31,Lexington County,-44%,-5%,+7%,-32%,-30%,+11%,South Carolina
32,Marion County,-31%,+12%,,,-28%,+2%,South Carolina
33,Marlboro County,-29%,-2%,,,-37%,,South Carolina
34,McCormick County,-49%,+11%,,,-43%,,South Carolina
35,Newberry County,-27%,+4%,,-47%,-29%,+17%,South Carolina
36,Oconee County,-35%,+9%,-10%,,-29%,+16%,South Carolina
37,Orangeburg County,-33%,+0%,,-49%,-28%,+10%,South Carolina
38,Pickens County,-36%,+4%,-17%,,-28%,+10%,South Carolina
39,Richland County,-42%,-8%,-37%,-31%,-34%,+13%,South Carolina
40,Saluda County,-40%,+3%,,,-23%,,South Carolina
41,Spartanburg County,-41%,-2%,+21%,-60%,-35%,+11%,South Carolina
42,Sumter County,-36%,+1%,,-45%,-33%,+11%,South Carolina
43,Union County,-30%,+1%,,,-35%,+4%,South Carolina
44,Williamsburg County,-31%,+2%,,,-19%,,South Carolina
0,Beadle County,-36%,-12%,,,-24%,,South Dakota
1,Bon Homme County,,,,,-43%,,South Dakota
2,Brookings County,-39%,-27%,,,-28%,+22%,South Dakota
3,Brown County,-38%,-12%,,,-29%,+20%,South Dakota
4,Brule County,-55%,,,,-41%,,South Dakota
5,Butte County,-25%,,,,-34%,,South Dakota
6,Charles Mix County,-49%,,,,-34%,,South Dakota
7,Clay County,-47%,,,,-35%,,South Dakota
8,Codington County,-31%,+5%,,-50%,-27%,+15%,South Dakota
9,Custer County,,,,,-36%,,South Dakota
10,Davison County,-40%,-4%,,,-25%,,South Dakota
11,Dewey County,,,,,-46%,,South Dakota
12,Fall River County,-37%,,,,-30%,,South Dakota
13,Grant County,-32%,,,,-23%,,South Dakota
14,Hamlin County,,,,,-40%,,South Dakota
15,Hughes County,-24%,-11%,,,-22%,,South Dakota
16,Hutchinson County,,,,,-36%,,South Dakota
17,Kingsbury County,,,,,-24%,,South Dakota
18,Lake County,-20%,-6%,,,-45%,,South Dakota
19,Lawrence County,-69%,-14%,-26%,,-55%,+0%,South Dakota
20,Lincoln County,-38%,+0%,,,-34%,+24%,South Dakota
21,McCook County,,,,,-41%,,South Dakota
22,Meade County,-38%,-7%,,,-35%,+12%,South Dakota
23,Minnehaha County,-52%,-6%,+13%,-44%,-37%,+14%,South Dakota
24,Moody County,,,,,-43%,,South Dakota
25,Pennington County,-52%,-2%,-58%,-33%,-35%,+15%,South Dakota
26,Roberts County,-45%,-20%,,-40%,-45%,,South Dakota
27,Shannon County,-50%,-11%,,,-45%,,South Dakota
28,Spink County,,,,,-38%,,South Dakota
29,Todd County,,-14%,,,-46%,,South Dakota
30,Tripp County,-71%,,,,,,South Dakota
31,Turner County,,,,,-38%,,South Dakota
32,Union County,-48%,-9%,,-35%,-32%,,South Dakota
33,Walworth County,-21%,,,,-34%,,South Dakota
0,Anderson County,-35%,+8%,+12%,,-28%,+9%,Tennessee
1,Bedford County,-24%,+7%,,,-34%,+19%,Tennessee
2,Benton County,-66%,+83%,,-35%,-32%,,Tennessee
3,Bledsoe County,-7%,+18%,,,-48%,,Tennessee
4,Blount County,-33%,+8%,+65%,-78%,-37%,+9%,Tennessee
5,Bradley County,-37%,+6%,,-30%,-34%,+9%,Tennessee
6,Campbell County,-14%,+0%,+4%,-37%,-22%,+12%,Tennessee
7,Cannon County,+0%,+12%,,,-34%,,Tennessee
8,Carroll County,-37%,+4%,,,-25%,+4%,Tennessee
9,Carter County,-21%,+14%,+16%,,-27%,+18%,Tennessee
10,Cheatham County,-43%,+66%,,-34%,-32%,+18%,Tennessee
11,Chester County,-19%,-4%,,,-21%,,Tennessee
12,Claiborne County,-32%,+46%,,,-27%,-2%,Tennessee
13,Clay County,,,,,-44%,,Tennessee
14,Cocke County,-20%,+21%,+2%,-20%,-42%,+12%,Tennessee
15,Coffee County,-32%,+3%,,-59%,-32%,+19%,Tennessee
16,Crockett County,-34%,+4%,,,-31%,,Tennessee
17,Cumberland County,-29%,-7%,,-31%,-31%,+16%,Tennessee
18,Davidson County,-51%,-10%,-44%,-62%,-41%,+13%,Tennessee
19,DeKalb County,-12%,+18%,,,-34%,,Tennessee
20,Decatur County,-20%,+22%,,,-44%,,Tennessee
21,Dickson County,-36%,+0%,,-32%,-30%,+20%,Tennessee
22,Dyer County,-30%,-4%,,-23%,-23%,+10%,Tennessee
23,Fayette County,-17%,+52%,,-42%,-26%,+9%,Tennessee
24,Fentress County,-26%,+1%,,,-9%,,Tennessee
25,Franklin County,-16%,+14%,,,-36%,+15%,Tennessee
26,Gibson County,-19%,+20%,,,-30%,+19%,Tennessee
27,Giles County,-21%,+13%,,-52%,-27%,+8%,Tennessee
28,Grainger County,-39%,+4%,,,-26%,,Tennessee
29,Greene County,-29%,+0%,,-17%,-26%,+7%,Tennessee
30,Grundy County,-66%,-12%,,,-44%,,Tennessee
31,Hamblen County,-36%,+4%,,,-33%,+18%,Tennessee
32,Hamilton County,-48%,-2%,-25%,-32%,-36%,+12%,Tennessee
33,Hancock County,,,,,-55%,,Tennessee
34,Hardeman County,-36%,-2%,,,-37%,,Tennessee
35,Hardin County,-29%,+9%,,,-23%,,Tennessee
36,Hawkins County,-18%,+17%,,,-19%,+18%,Tennessee
37,Haywood County,-25%,+4%,,,-26%,,Tennessee
38,Henderson County,-26%,+11%,,,-33%,-1%,Tennessee
39,Henry County,-34%,+9%,,,-26%,+13%,Tennessee
40,Hickman County,-32%,+5%,,,-27%,-3%,Tennessee
41,Houston County,-70%,-6%,,,-53%,,Tennessee
42,Humphreys County,-29%,-5%,,,-31%,,Tennessee
43,Jackson County,,+2%,,,-53%,,Tennessee
44,Jefferson County,-22%,+13%,,-35%,-36%,+18%,Tennessee
45,Johnson County,-22%,+0%,,,-20%,,Tennessee
46,Knox County,-44%,-2%,+11%,-32%,-36%,+10%,Tennessee
47,Lauderdale County,-20%,+19%,,,-27%,,Tennessee
48,Lawrence County,-34%,+4%,,,-26%,+13%,Tennessee
49,Lewis County,-20%,+17%,,,-50%,,Tennessee
50,Lincoln County,-24%,+10%,,,-20%,+7%,Tennessee
51,Loudon County,-24%,+10%,,-31%,-28%,+17%,Tennessee
52,Macon County,-32%,-4%,,,-23%,,Tennessee
53,Madison County,-48%,-13%,-51%,-44%,-37%,+11%,Tennessee
54,Marion County,-31%,-14%,+10%,-28%,-32%,+0%,Tennessee
55,Marshall County,-16%,+6%,,-47%,-32%,+17%,Tennessee
56,Maury County,-40%,-2%,-33%,-34%,-36%,+10%,Tennessee
57,McMinn County,-33%,+9%,,-53%,-32%,+18%,Tennessee
58,McNairy County,-23%,+5%,,-26%,-20%,,Tennessee
59,Meigs County,-25%,+32%,,,-37%,,Tennessee
60,Monroe County,-24%,+40%,,,-30%,+15%,Tennessee
61,Montgomery County,-38%,+3%,+58%,-24%,-33%,+10%,Tennessee
62,Moore County,,,,,-52%,,Tennessee
63,Morgan County,+7%,+3%,,,-21%,,Tennessee
64,Obion County,-33%,+13%,,,-28%,+6%,Tennessee
65,Overton County,-23%,+0%,,,-25%,,Tennessee
66,Perry County,-59%,,,,-50%,,Tennessee
67,Polk County,-41%,+2%,,,-31%,,Tennessee
68,Putnam County,-44%,-10%,,-29%,-28%,+7%,Tennessee
69,Rhea County,-19%,+8%,,,-28%,+11%,Tennessee
70,Roane County,-25%,+10%,-24%,,-27%,+17%,Tennessee
71,Robertson County,-22%,+16%,,-27%,-34%,+21%,Tennessee
72,Rutherford County,-40%,-2%,+72%,-21%,-34%,+11%,Tennessee
73,Scott County,-28%,+9%,,,-19%,,Tennessee
74,Sequatchie County,-35%,+7%,,,-25%,,Tennessee
75,Sevier County,-72%,-27%,-70%,,-57%,+13%,Tennessee
76,Shelby County,-38%,+4%,-45%,-20%,-29%,+11%,Tennessee
77,Smith County,-30%,+22%,,-26%,-18%,,Tennessee
78,Stewart County,-23%,+15%,,,-49%,,Tennessee
79,Sullivan County,-37%,+2%,+41%,-41%,-28%,+8%,Tennessee
